,loss,accuracy,val_loss,val_accuracy
0,0.47100839018821716,0.7796078324317932,0.302200585603714,0.8709803819656372
1,0.2724229395389557,0.8882352709770203,0.23971718549728394,0.9082353115081787
2,0.2425720989704132,0.9027451276779175,0.24378180503845215,0.9078431129455566
3,0.21027760207653046,0.9131372570991516,0.19552527368068695,0.9231372475624084
4,0.18644629418849945,0.9226470589637756,0.15127721428871155,0.9431372284889221
5,0.19138459861278534,0.9218627214431763,0.22203990817070007,0.8960784077644348
6,0.16696622967720032,0.930784285068512,0.20931166410446167,0.9082353115081787
7,0.17935296893119812,0.9255882501602173,0.1475454717874527,0.932941198348999
8,0.1597623974084854,0.936960756778717,0.13210703432559967,0.9490196108818054
9,0.155029758810997,0.9360784292221069,0.3380669951438904,0.8662745356559753
10,0.1549554020166397,0.936960756778717,0.2013397365808487,0.91019606590271
11,0.1434200555086136,0.9412745237350464,0.16153065860271454,0.9313725233078003
12,0.15542344748973846,0.9382352828979492,0.12156487256288528,0.9501960873603821
13,0.14078503847122192,0.9417647123336792,0.156460240483284,0.9388235211372375
14,0.14301633834838867,0.9423529505729675,0.1240735724568367,0.9486274719238281
15,0.1327110379934311,0.9464705586433411,0.12073346227407455,0.9509803652763367
16,0.12780341506004333,0.9464705586433411,0.12279590964317322,0.9498039484024048
17,0.12585359811782837,0.945588231086731,0.11092924326658249,0.9541176557540894
18,0.12961630523204803,0.9467647075653076,0.10955937206745148,0.9560784101486206
19,0.11495420336723328,0.9531372785568237,0.10759307444095612,0.9529411792755127
20,0.10791250318288803,0.9558823704719543,0.10228317230939865,0.9599999785423279
21,0.11896241456270218,0.9525490403175354,0.11925612390041351,0.9501960873603821
22,0.10732235014438629,0.9567646980285645,0.0961640328168869,0.9607843160629272
23,0.10194186121225357,0.9576470851898193,0.09703337401151657,0.9584313631057739
24,0.13628335297107697,0.9467647075653076,0.15367527306079865,0.932548999786377
25,0.10143415629863739,0.9601960778236389,0.09463243931531906,0.9627450704574585
26,0.09474074840545654,0.9611764550209045,0.10734058171510696,0.9576470851898193
27,0.08768636733293533,0.9634313583374023,0.0736914873123169,0.970588207244873
28,0.08431261032819748,0.9668627381324768,0.08703149855136871,0.9654902219772339
29,0.08236847817897797,0.9671568870544434,0.07643631845712662,0.9698039293289185
30,0.06994917243719101,0.9730392098426819,0.05411192774772644,0.9796078205108643
31,0.08786649256944656,0.9637255072593689,0.079099640250206,0.9635294079780579
32,0.07590416073799133,0.9693137407302856,0.05903395265340805,0.977647066116333
33,0.0812273696064949,0.9683333039283752,0.09464041888713837,0.9647058844566345
34,0.07097736746072769,0.9721568822860718,0.14818793535232544,0.9349019527435303
35,0.07162870466709137,0.9725490212440491,0.05277886986732483,0.979215681552887
